guid,label
2499,positive
2502,positive
2504,positive
2506,neutral
2508,negative
2509,negative
2510,neutral
2511,positive
2512,neutral
2515,positive
2516,positive
2517,neutral
2519,neutral
2521,neutral
2522,positive
2523,negative
2524,neutral
2527,positive
2528,neutral
2529,positive
2530,neutral
2531,neutral
2534,negative
2535,negative
2537,neutral
2538,positive
2539,positive
2540,positive
2542,neutral
2545,neutral
2548,neutral
2549,positive
2550,neutral
2551,positive
2552,neutral
2554,neutral
2555,positive
2556,neutral
2558,positive
2559,negative
2560,positive
2564,positive
2566,neutral
2567,neutral
2568,neutral
2569,positive
2570,neutral
2571,negative
2572,neutral
2573,neutral
2574,positive
2576,positive
2577,neutral
2581,positive
2582,neutral
2583,positive
2586,positive
2590,negative
2591,positive
2592,neutral
2593,neutral
2594,neutral
2595,neutral
2596,positive
2597,neutral
2598,negative
2599,neutral
2600,neutral
2601,neutral
2602,positive
2603,neutral
2604,positive
2608,negative
2611,neutral
2612,neutral
2613,positive
2615,positive
2616,positive
2618,negative
2619,neutral
2620,positive
2622,neutral
2624,positive
2625,negative
2627,neutral
2628,neutral
2630,positive
2631,neutral
2633,neutral
2634,negative
2635,neutral
2638,positive
2639,neutral
2640,negative
2642,positive
2643,positive
2646,neutral
2647,positive
2648,positive
2649,negative
2650,negative
2651,positive
2652,neutral
2653,negative
2654,neutral
2655,positive
2656,positive
2657,positive
2658,neutral
2659,neutral
2661,neutral
2662,negative
2663,positive
2664,negative
2668,neutral
2669,positive
2673,neutral
2674,positive
2675,neutral
2676,negative
2679,positive
2681,positive
2682,negative
2683,negative
2687,positive
2688,positive
2691,neutral
2692,negative
2693,neutral
2694,negative
2695,positive
2696,negative
2697,negative
2698,neutral
2699,positive
2700,neutral
2701,positive
2703,neutral
2706,negative
2707,neutral
2712,positive
2714,positive
2715,neutral
2716,positive
2717,neutral
2718,negative
2719,negative
2720,positive
2721,neutral
2725,neutral
2726,positive
2727,positive
2728,neutral
2729,neutral
2733,neutral
2734,negative
2737,neutral
2741,neutral
2743,neutral
2745,neutral
2747,neutral
2749,positive
2751,neutral
2752,positive
2753,negative
2754,neutral
2757,neutral
2758,negative
2759,positive
2760,neutral
2761,positive
2763,neutral
2764,neutral
2765,positive
2766,negative
2768,negative
2769,positive
2770,neutral
2771,positive
2772,positive
2774,neutral
2775,positive
2777,positive
2779,positive
2781,negative
2783,positive
2784,neutral
2786,neutral
2787,neutral
2788,neutral
2789,neutral
2790,positive
2792,positive
2793,neutral
2794,positive
2795,positive
2796,neutral
2797,neutral
2798,neutral
2799,negative
2800,neutral
2802,negative
2803,neutral
2804,negative
2806,positive
2808,positive
2809,neutral
2810,negative
2811,neutral
2812,neutral
2813,positive
2814,neutral
2815,negative
2816,neutral
2817,neutral
2820,positive
2821,negative
2824,positive
2825,positive
2826,negative
2827,positive
2829,positive
2830,positive
2831,positive
2832,neutral
2833,positive
2834,neutral
2837,neutral
2838,positive
2839,negative
2841,positive
2842,positive
2843,negative
2844,positive
2846,negative
2847,positive
2848,neutral
2849,neutral
2850,neutral
2852,positive
2854,neutral
2855,neutral
2856,negative
2859,positive
2860,neutral
2862,neutral
2863,neutral
2864,neutral
2866,neutral
2871,negative
2872,positive
2873,positive
2874,positive
2875,neutral
2877,positive
2878,positive
2879,positive
2881,neutral
2882,positive
2884,negative
2885,neutral
2886,positive
2889,positive
2890,positive
2892,positive
2895,positive
2897,neutral
2898,neutral
2899,negative
2901,neutral
2903,positive
2905,positive
2906,positive
2908,negative
2909,neutral
2910,positive
2911,neutral
2913,negative
2914,negative
2915,neutral
2916,neutral
2917,positive
2918,neutral
2920,positive
2923,negative
2924,positive
2925,negative
2928,neutral
2929,neutral
2933,negative
2937,positive
2938,positive
2940,neutral
2941,neutral
2942,negative
2943,neutral
2944,neutral
2945,neutral
2948,neutral
2949,neutral
2951,neutral
2952,neutral
2955,positive
2956,positive
2958,neutral
2961,neutral
2962,neutral
2964,negative
2965,neutral
2967,positive
2968,positive
2970,neutral
2971,positive
2972,neutral
2974,neutral
2975,positive
2976,neutral
2977,neutral
2978,positive
2979,positive
2980,positive
2982,neutral
2983,positive
2984,positive
2985,positive
2986,neutral
2987,negative
2988,neutral
2990,negative
2991,positive
2992,neutral
2993,negative
2994,positive
2995,neutral
2996,neutral
3000,positive
3001,positive
3003,negative
3004,positive
3005,positive
3006,negative
3007,neutral
3010,neutral
3012,neutral
3013,positive
3014,positive
3015,positive
3016,neutral
3020,neutral
3022,positive
3023,neutral
3024,positive
3025,negative
3026,negative
3027,positive
3028,positive
3029,positive
3031,neutral
3032,neutral
3033,positive
3034,negative
3035,positive
3036,neutral
3037,neutral
3038,positive
3039,negative
3041,neutral
3042,neutral
3043,neutral
3044,negative
3046,positive
3047,neutral
3049,neutral
3052,negative
3053,positive
3054,negative
3055,positive
3057,neutral
3062,neutral
3063,negative
3064,positive
3067,positive
3068,negative
3070,neutral
3072,negative
3074,positive
3075,positive
3076,positive
3077,neutral
3079,positive
3080,neutral
3081,negative
3082,negative
